datetime_beginning_utc,datetime_beginning_ept,area,wind_generation_mw
4/6/2021 3:00,4/5/2021 23:00,SOUTH,98.116
4/6/2021 2:00,4/5/2021 22:00,SOUTH,66.279
4/6/2021 1:00,4/5/2021 21:00,SOUTH,66.105
4/6/2021 0:00,4/5/2021 20:00,SOUTH,43.993
4/5/2021 23:00,4/5/2021 19:00,SOUTH,28.762
4/5/2021 22:00,4/5/2021 18:00,SOUTH,50.442
4/5/2021 21:00,4/5/2021 17:00,SOUTH,75.119
4/5/2021 20:00,4/5/2021 16:00,SOUTH,81.189
4/5/2021 19:00,4/5/2021 15:00,SOUTH,52.8
4/5/2021 18:00,4/5/2021 14:00,SOUTH,51.266
4/5/2021 17:00,4/5/2021 13:00,SOUTH,51.045
4/5/2021 16:00,4/5/2021 12:00,SOUTH,20.848
4/5/2021 15:00,4/5/2021 11:00,SOUTH,18.08
4/5/2021 14:00,4/5/2021 10:00,SOUTH,32.59
4/5/2021 13:00,4/5/2021 9:00,SOUTH,63.344
4/5/2021 12:00,4/5/2021 8:00,SOUTH,93.239
4/5/2021 11:00,4/5/2021 7:00,SOUTH,87.585
4/5/2021 10:00,4/5/2021 6:00,SOUTH,82.891
4/5/2021 9:00,4/5/2021 5:00,SOUTH,144.537
4/5/2021 8:00,4/5/2021 4:00,SOUTH,167.398
4/5/2021 7:00,4/5/2021 3:00,SOUTH,81.395
4/5/2021 6:00,4/5/2021 2:00,SOUTH,52.663
4/5/2021 5:00,4/5/2021 1:00,SOUTH,81.369
4/5/2021 4:00,4/5/2021 0:00,SOUTH,126.426
4/5/2021 3:00,4/4/2021 23:00,SOUTH,151.816
4/5/2021 2:00,4/4/2021 22:00,SOUTH,255.738
4/5/2021 1:00,4/4/2021 21:00,SOUTH,212.882
4/5/2021 0:00,4/4/2021 20:00,SOUTH,147.234
4/4/2021 23:00,4/4/2021 19:00,SOUTH,144.171
4/4/2021 22:00,4/4/2021 18:00,SOUTH,167.318
4/4/2021 21:00,4/4/2021 17:00,SOUTH,208.622
4/4/2021 20:00,4/4/2021 16:00,SOUTH,211.954
4/4/2021 19:00,4/4/2021 15:00,SOUTH,184.775
4/4/2021 18:00,4/4/2021 14:00,SOUTH,155.776
4/4/2021 17:00,4/4/2021 13:00,SOUTH,121.355
4/4/2021 16:00,4/4/2021 12:00,SOUTH,112.652
4/4/2021 15:00,4/4/2021 11:00,SOUTH,94.464
4/4/2021 14:00,4/4/2021 10:00,SOUTH,80.409
4/4/2021 13:00,4/4/2021 9:00,SOUTH,120.309
4/4/2021 12:00,4/4/2021 8:00,SOUTH,185.284
4/4/2021 11:00,4/4/2021 7:00,SOUTH,211.085
4/4/2021 10:00,4/4/2021 6:00,SOUTH,222.207
4/4/2021 9:00,4/4/2021 5:00,SOUTH,198.251
